idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
WSG84;48.92056220918444;2.400314277360552,CRS3035RES1000mN2896000E3765000,CRS3035RES1000mN2896000E3765000,0,0,9300193027,714,268,82,87,46,43,53,11866205.1,14776,243,25,49,196,8,14,1,112,51,22,59,58.5,38.5,171,134,65,80,33,2
WSG84;48.92074753407892;2.403030626750352,CRS3035RES1000mN2896000E3765000,CRS3035RES1000mN2896000E3765000,0,0,93027,361.5,121,26,30,23,11,10,6370786.8,6407,114,7,26,91,2,2,0,0,30,13,31.5,30,21,85,71,30,32,10,8
WSG84;48.92093279297832;2.405746994679263,CRS3035RES1000mN2896000E3765000,CRS3035RES1000mN2896000E3765000,0,0,93027,274.5,76,24,14,24,26,6,4933734.7,4911,42,34,41,2,3,30,0,26,20,8,26,30.5,15,58,58,45,10,4,0
WSG84;48.92111798588192;2.4084633811409533,CRS3035RES1000mN2896000E3765000,CRS3035RES1000mN2896000E3765000,0,0,93027,540,178,59,46,35,87,14,9301284.6,9674,114,64,122,4,13,38,1,0,26,16,40,34,35,140,129,65,38,17,0
WSG84;48.921303112789;2.4111797861290847,CRS3035RES1000mN2896000E3765000,CRS3035RES1000mN2896000E3765000,0,0,93027,564,203,71,68,35,61,20,9245711.1,11279,177,26,76,14,45,63,5,49,43,21,33,42,38.5,173.5,100,63,41,9,0
WSG84;48.92148817369882;2.413896209637319,CRS3035RES1000mN2896000E3766000,CRS3035RES1000mN2896000E3766000,0,0,9302793029,491,169,68,47,33,83,18,8284738,10732,79,90,105,19,31,8,6,0,32,17,35,32,40,106,112,57,35,25,0
WSG84;48.92167316861067;2.4166126516593187,CRS3035RES1000mN2896000E3766000,CRS3035RES1000mN2896000E3766000,0,0,9302993027,454.5,164,54,47,26,78,8,8202486,10409,73,91,107,20,26,10,1,5,21,7.5,25.5,39.5,27,108,104,47,54,21,0
WSG84;48.921858097523824;2.419329112188747,CRS3035RES1000mN2896000E3766000,CRS3035RES1000mN2896000E3766000,0,0,93029,475,163,58,49,31,91,9,8062176.5,10877,68,95,99,26,22,16,0,0,31,12,34,46,29,103,92,62,44,21,1
WSG84;48.92204296043756;2.4220455912192627,CRS3035RES1000mN2896000E3766000,CRS3035RES1000mN2896000E3766000,0,0,93029,120.5,41,11,12,10,25,5,2150773.1,2867,21,20,28,5,0,8,0,0,5,2,17,8,6,17.5,32,14,13,6,0
WSG84;48.922412488263866;2.4274786047582086,CRS3035RES1000mN2896000E3767000,CRS3035RES200mN2896200E3767000,0,0,93029,273,90,17,22,20,69,10,5919757.6,6972,20,70,52,19,12,7,0,0,14,10,20,25,19,63,49,31,32,10,0
WSG84;48.92259715317499;2.430195139253958,CRS3035RES1000mN2896000E3767000,CRS3035RES200mN2896200E3767200,0,0,93029,388.5,143,30,36,19,98,18,7982854.3,9888,42,101,91,18,12,16,6,1,21,6,23,47,34.5,74,91,45,31,14,2
WSG84;48.92278175208379;2.432911692225443,CRS3035RES1000mN2896000E3767000,CRS3035RES200mN2896200E3767400,0,0,93029,307,108,21,33,16,81,7,7072585.3,8210,17,91,63,21,11,13,0,0,11,6,23,31,22,48,71,47,29,18,1
WSG84;48.922966284989556;2.4356282636663136,CRS3035RES1000mN2896000E3767000,CRS3035RES200mN2896200E3767600,0,0,93029,746,253,43,61,44,204,30,14742480.8,15629,201,52,30,215,3,5,0,0,46.5,26,69.5,89,46,162,156,56,56,39,0
WSG84;48.923150751891576;2.4383448535702406,CRS3035RES1000mN2896000E3767000,CRS3035RES200mN2896200E3767800,0,0,93029,480.5,191,39,63,20,64,36,9497322.3,13964,132,59,38,13,113,27,0,110,34,7,31.5,34.5,40.5,106,82,72,56,17,0
WSG84;48.92333515278911;2.4410614619308753,CRS3035RES1000mN2896000E3768000,CRS3035RES1000mN2896000E3768000,0,0,93029,1267,438,84,100,69,6,112,23711882.1,32072,438,0,26,0,15,397,0,412,81.5,51,113,132,115,261.5,249,149,79,29,7
WSG84;48.923519487681425;2.4437780887418805,CRS3035RES1000mN2896000E3768000,CRS3035RES1000mN2896000E3768000,0,0,93029,88,39,6,17,4,15,7,1967946.3,2378,37,2,0,1,0,38,0,17,3,5,5,7,10,19,22,11,6,0,0
WSG84;48.92370375656783;2.4464947339969134,CRS3035RES1000mN2896000E3768000,CRS3035RES1000mN2896000E3768000,0,0,93029,216,100,26,36,7,15,27,3905443.4,5512,84,16,14,80,1,5,0,75,12,7,16,18,11,41,43,21,30,17,0
WSG84;48.923887959447576;2.4492113976896324,CRS3035RES1000mN2896000E3768000,CRS3035RES1000mN2896000E3768000,1,0,93029,23,5.8,2.1,0.5,3.1,5.2,0,400897.1,463.7,1.1,4.7,3.7,1.6,0.5,0,0,0,0,1.5,1,4.2,4.2,2.6,6.3,1.6,1.6,0,0
WSG84;48.924072096319954;2.451928079813693,CRS3035RES1000mN2896000E3768000,CRS3035RES1000mN2896000E3768000,0,0,93029,410,145,24,37,25,118,17,9593980.5,10033,16,129,113,18,6,8,0,0,18,11,23,42,33,68,95,63,33,24,0
WSG84;48.92425616718423;2.4546447803627576,CRS3035RES1000mN2896000E3769000,CRS3035RES200mN2896200E3769000,0,0,93029,366.5,126,25,44,27,82,6,7117768.2,9254,41,85,64,15,21,26,0,0,18,9,30,42.5,26,63,77,42,35,24,0
WSG84;48.92444017203972;2.457361499330478,CRS3035RES1000mN2896000E3769000,CRS3035RES200mN2896200E3769200,0,0,93029,127,41,10,11,10,29,4,2795550.1,3468,9,32,26,4,7,4,0,0,5,3,14,20,10,15,31,13,13,3,0
WSG84;48.92462411088566;2.460078236710511,CRS3035RES1000mN2896000E3769000,CRS3035RES200mN2896200E3769400,0,0,9302993007,359,161,20,69,10,72,15,8115302.9,11090,107,54,19,20,105,17,0,62,12,6,16,30,31,65,73,49,68,9,0
WSG84;48.924807983721365;2.4627949924965167,CRS3035RES1000mN2896000E3769000,CRS3035RES200mN2896200E3769600,0,0,93007,433.5,166,26,47,21,95,25,8770599.4,10222,103,63,47,17,10,92,0,26,26.5,13.5,33,42.5,31,103,100,37,34,13,0
WSG84;48.92499179054607;2.465511766682152,CRS3035RES1000mN2896000E3769000,CRS3035RES200mN2896200E3769800,0,0,93007,213.5,73,19,21,12,50,8,4365530.5,5360,12,61,43,16,8,5,1,0,9,10.5,13,14,13,37,46,23,34,14,0
