siren,dateCreationEtablissement,denominationUniteLegale,isOnePerson,X,Y,appearances
306043456,1900-01-01,AVIAMARINE FRET,False,48.867647837,2.4149567266,2
306154857,1900-01-01,,True,48.945203883,2.4625726978,1
306212515,1900-01-01,,True,48.929680668,2.4924991629,1
306263286,1900-01-01,DECOR HOUE,False,48.927117196,2.4914425942,2
306372392,1900-01-01,QU IMPORTE,False,48.917256498,2.3844687043,2
306452954,1900-01-01,,True,48.918413275,2.3956524768,1
306508813,1900-01-01,,True,48.942601705,2.4382406883,1
306621632,1900-01-01,,True,48.876870678,2.4339812676,1
306770330,1900-01-01,FCBBM FOOTBALL CLUB DU BALTO,False,48.926958209,2.4719417613,2
306873464,1900-01-01,,True,48.914450074,2.3826025939,1
306990276,1900-01-01,,True,48.869045577,2.4239850869,1
307050823,1900-01-01,,True,48.940066696,2.4395949493,1
307126540,1900-01-01,,True,48.876976815,2.4337946845,1
307277780,1900-01-01,VAN OORD WERKENDAM,False,48.951314629,2.4624035932,2
307315580,1900-01-01,,True,48.859184197,2.4194912967,1
307318188,1900-01-01,,True,48.870996525,2.4175594169,1
307363796,1900-01-01,,True,48.860458415,2.4159301034,1
307437921,1900-01-01,,True,48.939335547,2.4914778033,1
307618025,1900-01-01,,True,48.862583151,2.4154964048,1
307644153,1900-01-01,,True,48.922356713,2.4766896353,1
307856815,1900-01-01,,True,48.910340986,2.377529625,1
307858944,1900-01-01,,True,48.945636045,2.4925271029,1
307871244,1900-01-01,,True,48.934939051,2.4982537454,1
307876771,1900-01-01,,True,48.946633325,2.4542446211,1
307876953,1900-01-01,,True,48.937188096,2.4688184759,1
307877340,1900-01-01,,True,48.934669683,2.4738153792,1
307877795,1900-01-01,,True,48.929292154,2.4779642238,1
307885053,1900-01-01,,True,48.920071637,2.3937064191,1
307885491,1900-01-01,,True,48.91752981,2.4000551287,1
307889535,1900-01-01,,True,48.937576912,2.4948976178,1
307889857,1900-01-01,,True,48.924010422,2.495116652,1
307890244,1900-01-01,,True,48.860479738,2.421951567,1
307897769,1900-01-01,,True,48.941887402,2.479202964,1
307898122,1900-01-01,,True,48.924688754,2.493476528,1
307900449,1900-01-01,,True,48.925223636,2.5048338982,1
307901785,1900-01-01,,True,48.92570704,2.4807296438,1
307911800,1900-01-01,,True,48.936602471,2.4724390074,1
307912832,1900-01-01,,True,48.873384433,2.4296622636,1
307954073,1900-01-01,,True,48.903346111,2.3911650158,1
307955062,1900-01-01,,True,48.934819235,2.4755187074,1
307982546,1900-01-01,COMPTOIR DES PEPINIERES,False,48.938405991,2.4919069185,2
308036722,1900-01-01,,True,48.939117417,2.4628497624,1
308124452,1900-01-01,,True,48.920098266,2.4910158486,1
308164490,1900-01-01,,True,48.91752981,2.4000551287,1
308227933,1900-01-01,,True,48.945847845,2.4395362078,1
308276773,1900-01-01,BORZAKIAN D ET MATOSSIAN,False,48.915035063,2.3802501516,2
308300441,1900-01-01,PRESSING DU GROS SAULE,False,48.949869715,2.513687047,2
308301183,1900-01-01,SOC ART DIFFUSION,False,48.859944129,2.4204535649,2
308301415,1900-01-01,COMITE DES FETES,False,48.93918787,2.4636618039,3
308301712,1900-01-01,BARDET G CAVREL R,False,48.940560166,2.4336145031,2
308514900,1900-01-01,,True,48.920568147,2.5101759353,1
308591536,1900-01-01,,True,48.920173118,2.4703171697,1
308809433,1900-01-01,,True,48.951000472,2.4964412058,1
308954536,1900-01-01,,True,48.872051804,2.4212681349,1
309002871,1900-01-01,SDF FACOETTI,False,48.873680932,2.423838389,2
309025609,1900-01-01,,True,48.87594542,2.4176442348,1
309115830,1900-01-01,,True,48.871542727,2.4220386096,1
309200947,1900-01-01,,True,48.930674974,2.4934067821,1
309246924,1900-01-01,DR KOPILOFF NGUYEN NGOC THIEN,False,48.930153882,2.4939910942,2
309331106,1900-01-01,SOC REME,False,48.856598313,2.418139467,2
309397610,1900-01-01,SOCIETE TRANSPORTS ET EXPORTATIONS SA,False,48.951566304,2.4612552795,2
309454353,1900-01-01,,True,48.944463358,2.4518727941,1
309506194,1900-01-01,GRECO TRANSPORTS,False,48.944736125,2.5057143731,2
309571974,1900-01-01,,True,48.957964379,2.4930595274,1
309617413,1900-01-01,,True,48.877146249,2.4194124409,1
309692762,1900-01-01,,True,48.928886684,2.4939215301,1
309744738,1900-01-01,RIOT FLEURS,False,48.927335787,2.496933505,2
309784346,1900-01-01,,True,48.925569214,2.489253701,1
309810331,1900-01-01,,True,48.955174821,2.4987985943,1
309932671,1900-01-01,OGEDA,False,48.857410095,2.4229193751,2
309986776,1900-01-01,,True,48.856556769,2.4164417309,1
310066683,1900-01-01,,True,48.906162699,2.3916870371,1
310162904,1900-01-01,DRS TRUMEAU G ET WALCH J M,False,48.934471672,2.4922049586,2
310254461,1900-01-01,,True,48.912585931,2.3913939313,1
310286349,1900-01-01,,True,48.919973444,2.3944553558,1
310366901,1900-01-01,,True,48.872265711,2.4200139468,1
310428289,1900-01-01,ASS SPORTIVE GYMNIQUE DE BAGNOLET,False,48.87481049,2.4232778078,2
